t_s,r
9.069000000000000838e+00,9.718261153112949247e-01
9.070000000000000284e+00,9.718354767962783525e-01
9.070999999999999730e+00,9.718447870114977905e-01
9.072000000000000952e+00,9.718540456942749151e-01
9.073000000000000398e+00,9.718632524088594016e-01
9.073999999999999844e+00,9.718724066851394117e-01
9.075000000000001066e+00,9.718815081561258395e-01
9.076000000000000512e+00,9.718905563203320552e-01
9.076999999999999957e+00,9.718995506525687222e-01
9.077999999999999403e+00,9.719084907649222504e-01
9.079000000000000625e+00,9.719173759892633102e-01
9.080000000000000071e+00,9.719262061324177582e-01
9.080999999999999517e+00,9.719349806283185123e-01
9.082000000000000739e+00,9.719436992169985245e-01
9.083000000000000185e+00,9.719523615280643014e-01
9.083999999999999631e+00,9.719609670424893544e-01
9.085000000000000853e+00,9.719695155462551028e-01
9.086000000000000298e+00,9.719780065209557840e-01
9.086999999999999744e+00,9.719864398350877011e-01
9.088000000000000966e+00,9.719948151389292690e-01
9.089000000000000412e+00,9.720031321278007619e-01
9.089999999999999858e+00,9.720113910201073626e-01
9.090999999999999304e+00,9.720195912956272055e-01
9.092000000000000526e+00,9.720277327377332410e-01
9.092999999999999972e+00,9.720358144409927403e-01
9.093999999999999417e+00,9.720438365058904351e-01
9.095000000000000639e+00,9.720517988303261081e-01
9.096000000000000085e+00,9.720597010895184464e-01
9.096999999999999531e+00,9.720675432960165230e-01
9.098000000000000753e+00,9.720753250199615225e-01
9.099000000000000199e+00,9.720830464173330077e-01
9.099999999999999645e+00,9.720907074540758863e-01
9.101000000000000867e+00,9.720983076924911703e-01
9.102000000000000313e+00,9.721058471494514741e-01
9.102999999999999758e+00,9.721133257407738038e-01
9.104000000000000981e+00,9.721207433021779032e-01
9.105000000000000426e+00,9.721280998350079194e-01
9.105999999999999872e+00,9.721353951497246904e-01
9.106999999999999318e+00,9.721426295016646346e-01
9.108000000000000540e+00,9.721498025319927905e-01
9.108999999999999986e+00,9.721569142245435335e-01
9.109999999999999432e+00,9.721639646106050581e-01
9.111000000000000654e+00,9.721709539559740820e-01
9.112000000000000099e+00,9.721778824317192091e-01
9.112999999999999545e+00,9.721847499328650777e-01
9.114000000000000767e+00,9.721915564070841009e-01
9.115000000000000213e+00,9.721983020099436157e-01
9.115999999999999659e+00,9.722049870530961035e-01
9.117000000000000881e+00,9.722116116403530794e-01
9.118000000000000327e+00,9.722181758833496890e-01
9.118999999999999773e+00,9.722246797481340908e-01
9.120000000000000995e+00,9.722311234858284079e-01
9.121000000000000441e+00,9.722375073520591604e-01
9.121999999999999886e+00,9.722438313615280325e-01
9.122999999999999332e+00,9.722500957209240235e-01
9.124000000000000554e+00,9.722563008783610128e-01
9.125000000000000000e+00,9.722624469215916942e-01
9.125999999999999446e+00,9.722685342430198441e-01
9.127000000000000668e+00,9.722745631239778641e-01
9.128000000000000114e+00,9.722805341184421746e-01
9.128999999999999559e+00,9.722864469909655583e-01
9.130000000000000782e+00,9.722923021763978380e-01
9.131000000000000227e+00,9.722980997007022452e-01
9.131999999999999673e+00,9.723038401446406631e-01
9.133000000000000895e+00,9.723095240084749236e-01
9.134000000000000341e+00,9.723151514918161320e-01
9.134999999999999787e+00,9.723207232181390047e-01
9.136000000000001009e+00,9.723262392749162375e-01
9.137000000000000455e+00,9.723317001269944360e-01
9.137999999999999901e+00,9.723371063392318714e-01
9.138999999999999346e+00,9.723424583361730544e-01
9.140000000000000568e+00,9.723477564560827346e-01
9.141000000000000014e+00,9.723530012956200785e-01
9.141999999999999460e+00,9.723581932600177113e-01
9.143000000000000682e+00,9.723633329189056429e-01
9.144000000000000128e+00,9.723684207503704435e-01
9.144999999999999574e+00,9.723734570288556922e-01
9.146000000000000796e+00,9.723784425979031809e-01
9.147000000000000242e+00,9.723833781492172701e-01
9.147999999999999687e+00,9.723882641030076046e-01
9.149000000000000909e+00,9.723931011078215114e-01
9.150000000000000355e+00,9.723978895867390060e-01
9.150999999999999801e+00,9.724026301090004099e-01
9.152000000000001023e+00,9.724073233295826846e-01
9.153000000000000469e+00,9.724119696509007094e-01
9.153999999999999915e+00,9.724165694891488965e-01
9.154999999999999361e+00,9.724211240413176416e-01
9.156000000000000583e+00,9.724256339226683421e-01
9.157000000000000028e+00,9.724300996307881917e-01
9.157999999999999474e+00,9.724345217000054387e-01
9.159000000000000696e+00,9.724389007788918349e-01
9.160000000000000142e+00,9.724432376790099752e-01
9.160999999999999588e+00,9.724475330156886477e-01
9.162000000000000810e+00,9.724517873117514144e-01
9.163000000000000256e+00,9.724560012191586500e-01
9.163999999999999702e+00,9.724601756922605089e-01
9.165000000000000924e+00,9.724643111903435999e-01
9.166000000000000369e+00,9.724684088330792786e-01
9.166999999999999815e+00,9.724724694837452166e-01
9.168000000000001037e+00,9.724764936044520969e-01
9.169000000000000483e+00,9.724804821163286483e-01
9.169999999999999929e+00,9.724844355613002644e-01
9.170999999999999375e+00,9.724883549944690619e-01
9.172000000000000597e+00,9.724922408167622212e-01
9.173000000000000043e+00,9.724960939989608644e-01
9.173999999999999488e+00,9.724999150162656480e-01
9.175000000000000711e+00,9.725037050619095291e-01
9.176000000000000156e+00,9.725074646658810051e-01
